,first_date,final_balance,investment_strategy
0,1871-01-01,1249.197738926127,sp500
1,1871-02-01,1256.442368531454,sp500
2,1871-03-01,1211.0883971407343,sp500
3,1871-04-01,1217.3185493195228,sp500
4,1871-05-01,1211.7025678812745,sp500
5,1871-06-01,1213.5369063173446,sp500
6,1871-07-01,1199.7772477941332,sp500
7,1871-08-01,1214.5046775168064,sp500
8,1871-09-01,1334.110402270926,sp500
9,1871-10-01,1369.1173251351445,sp500
10,1871-11-01,1364.7755449796423,sp500
11,1871-12-01,1400.2337393316623,sp500
12,1872-01-01,1428.0043869560213,sp500
13,1872-02-01,1428.903082088024,sp500
14,1872-03-01,1471.9901783739945,sp500
15,1872-04-01,1498.668979406593,sp500
16,1872-05-01,1501.4353717205263,sp500
17,1872-06-01,1493.6967205264484,sp500
18,1872-07-01,1433.434821213082,sp500
19,1872-08-01,1423.5991524022968,sp500
20,1872-09-01,1396.8224366919212,sp500
21,1872-10-01,1420.2046199541167,sp500
22,1872-11-01,1396.898894165865,sp500
23,1872-12-01,1346.6623449075614,sp500
24,1873-01-01,1296.709671757822,sp500
25,1873-02-01,1265.9165871828477,sp500
26,1873-03-01,1251.3669473777102,sp500
27,1873-04-01,1279.5676357508444,sp500
28,1873-05-01,1181.3580363634082,sp500
29,1873-06-01,1149.7707930332424,sp500
30,1873-07-01,1066.1906263189815,sp500
31,1873-08-01,1068.4251205414462,sp500
32,1873-09-01,1116.5781115754694,sp500
33,1873-10-01,1158.8214219037493,sp500
34,1873-11-01,1208.8021383418547,sp500
35,1873-12-01,1164.1028293039274,sp500
36,1874-01-01,1143.4844300671723,sp500
37,1874-02-01,1162.9057611189046,sp500
38,1874-03-01,1232.33053806197,sp500
39,1874-04-01,1258.9691810400038,sp500
40,1874-05-01,1227.6917458675493,sp500
41,1874-06-01,1206.7218818898982,sp500
42,1874-07-01,1180.8901460354286,sp500
43,1874-08-01,1167.8978045390877,sp500
44,1874-09-01,1150.5651752401513,sp500
45,1874-10-01,1140.3333996632425,sp500
46,1874-11-01,1131.1370417959922,sp500
47,1874-12-01,1147.9823556613615,sp500
48,1875-01-01,1122.2171267696992,sp500
49,1875-02-01,1107.993826446642,sp500
50,1875-03-01,1097.1920251311562,sp500
51,1875-04-01,1098.9775275399675,sp500
52,1875-05-01,1150.3269221156793,sp500
53,1875-06-01,1160.5443644719428,sp500
54,1875-07-01,1176.1072452114263,sp500
55,1875-08-01,1191.9519366811091,sp500
56,1875-09-01,1184.5198825686014,sp500
57,1875-10-01,1171.7078974672668,sp500
58,1875-11-01,1124.3262015009564,sp500
59,1875-12-01,1082.0222106862013,sp500
60,1876-01-01,1065.9136207469,sp500
61,1876-02-01,1120.3670299227058,sp500
62,1876-03-01,1098.1334968431602,sp500
63,1876-04-01,1135.8197580590002,sp500
64,1876-05-01,1150.077580114084,sp500
65,1876-06-01,1138.3587923010678,sp500
66,1876-07-01,1068.3928544967255,sp500
67,1876-08-01,1006.9826709262027,sp500
68,1876-09-01,1064.8228114808082,sp500
69,1876-10-01,1061.7513113348616,sp500
70,1876-11-01,1109.1903215830932,sp500
71,1876-12-01,1091.7353114242073,sp500
72,1877-01-01,1123.4193874994028,sp500
73,1877-02-01,1124.6571673109158,sp500
74,1877-03-01,1123.6266736323196,sp500
75,1877-04-01,1145.2794082394923,sp500
76,1877-05-01,1176.442660547702,sp500
77,1877-06-01,1236.8864326057935,sp500
78,1877-07-01,1274.1841442312439,sp500
79,1877-08-01,1228.473510557506,sp500
80,1877-09-01,1197.0999074288738,sp500
81,1877-10-01,1166.2002281112825,sp500
82,1877-11-01,1121.3284404161068,sp500
83,1877-12-01,1161.0208263672077,sp500
84,1878-01-01,1167.0963879064964,sp500
85,1878-02-01,1147.278514716941,sp500
86,1878-03-01,1078.0361630898515,sp500
87,1878-04-01,1040.2029151684624,sp500
88,1878-05-01,1021.8311849605939,sp500
89,1878-06-01,1112.9150555557458,sp500
90,1878-07-01,1132.7376376229527,sp500
91,1878-08-01,1169.1193689212093,sp500
92,1878-09-01,1143.5788627441611,sp500
93,1878-10-01,1121.3689912394443,sp500
94,1878-11-01,1151.370402116104,sp500
95,1878-12-01,1211.348100905167,sp500
96,1879-01-01,1276.979488865154,sp500
97,1879-02-01,1273.3699536903619,sp500
98,1879-03-01,1291.605063296687,sp500
99,1879-04-01,1268.2533142165976,sp500
100,1879-05-01,1202.5179613418986,sp500
101,1879-06-01,1149.3225076240897,sp500
102,1879-07-01,1173.9282906328185,sp500
103,1879-08-01,1169.8015204366516,sp500
104,1879-09-01,1100.5709562267882,sp500
105,1879-10-01,1070.8044165595031,sp500
106,1879-11-01,1074.9565414244933,sp500
107,1879-12-01,1012.9946548092339,sp500
108,1880-01-01,1012.5488012146014,sp500
109,1880-02-01,1011.3723302363294,sp500
110,1880-03-01,1015.0078548247643,sp500
111,1880-04-01,1020.7669931987298,sp500
112,1880-05-01,1015.6806230662829,sp500
113,1880-06-01,989.7885117808346,sp500
114,1880-07-01,970.4484446214764,sp500
115,1880-08-01,974.6092097364362,sp500
116,1880-09-01,934.6691258411865,sp500
117,1880-10-01,976.9196030923364,sp500
118,1880-11-01,1036.4536392387781,sp500
119,1880-12-01,1119.6529973097772,sp500
120,1881-01-01,1106.0062310544477,sp500
121,1881-02-01,1148.1388667730125,sp500
122,1881-03-01,1182.1227603918196,sp500
123,1881-04-01,1293.940142076241,sp500
124,1881-05-01,1220.6878695712455,sp500
125,1881-06-01,1332.3795040420164,sp500
126,1881-07-01,1251.9168040584843,sp500
127,1881-08-01,1251.1882559321928,sp500
128,1881-09-01,1228.50495025128,sp500
129,1881-10-01,1229.491733400708,sp500
130,1881-11-01,1228.5226653073742,sp500
131,1881-12-01,1222.1347095753003,sp500
132,1882-01-01,1253.5545560500716,sp500
133,1882-02-01,1267.9869153074262,sp500
134,1882-03-01,1266.2319827468878,sp500
135,1882-04-01,1288.174929039696,sp500
136,1882-05-01,1286.593953111881,sp500
137,1882-06-01,1265.7858847675018,sp500
138,1882-07-01,1281.9277410341806,sp500
139,1882-08-01,1305.3637545916833,sp500
140,1882-09-01,1269.707905962824,sp500
141,1882-10-01,1162.68081303001,sp500
142,1882-11-01,1160.1993174426937,sp500
143,1882-12-01,1134.7568880861838,sp500
144,1883-01-01,1163.6163041993439,sp500
145,1883-02-01,1158.1148359689973,sp500
146,1883-03-01,1144.3187489144896,sp500
147,1883-04-01,1083.6513024161109,sp500
148,1883-05-01,1096.981927033267,sp500
149,1883-06-01,1025.3380044508547,sp500
150,1883-07-01,989.741977172375,sp500
151,1883-08-01,957.6440094987131,sp500
152,1883-09-01,913.0870921535067,sp500
153,1883-10-01,908.6168334107936,sp500
154,1883-11-01,910.2975050560347,sp500
155,1883-12-01,972.91323461965,sp500
156,1884-01-01,958.5780330153193,sp500
157,1884-02-01,899.1132578689488,sp500
158,1884-03-01,908.5707304357616,sp500
159,1884-04-01,941.5308757707115,sp500
160,1884-05-01,963.5607609008933,sp500
161,1884-06-01,975.7320295695095,sp500
162,1884-07-01,1023.7807990771684,sp500
163,1884-08-01,1014.1018441506387,sp500
164,1884-09-01,1044.2542064720383,sp500
165,1884-10-01,1117.2832396518038,sp500
166,1884-11-01,1141.2929118628706,sp500
167,1884-12-01,1162.735641435408,sp500
168,1885-01-01,1173.4071061391255,sp500
169,1885-02-01,1209.7310841850783,sp500
170,1885-03-01,1251.3142466531742,sp500
171,1885-04-01,1231.9614631497982,sp500
172,1885-05-01,1184.4509585615162,sp500
173,1885-06-01,1187.722370007067,sp500
174,1885-07-01,1230.6336209472029,sp500
175,1885-08-01,1230.6670201531554,sp500
176,1885-09-01,1237.985205611676,sp500
177,1885-10-01,1243.9197842822193,sp500
178,1885-11-01,1200.6039900822727,sp500
179,1885-12-01,1239.1180906486363,sp500
180,1886-01-01,1247.291135727643,sp500
181,1886-02-01,1226.034771170253,sp500
182,1886-03-01,1203.8159142595375,sp500
