,first_date,return_percent
0,1871-01-01,6.657661324942055
1,1871-02-01,6.689156149215902
2,1871-03-01,6.716970868279626
3,1871-04-01,6.9253341386598555
4,1871-05-01,6.705934518327905
5,1871-06-01,7.102243345960257
6,1871-07-01,6.921549459544818
7,1871-08-01,6.874201582602968
8,1871-09-01,6.804933807501867
9,1871-10-01,6.959321659348672
10,1871-11-01,6.993406087357834
11,1871-12-01,6.85215665353327
12,1872-01-01,6.780789519293529
13,1872-02-01,6.77920696104195
14,1872-03-01,6.6629416119913465
15,1872-04-01,6.70591298496559
16,1872-05-01,6.744877911890312
17,1872-06-01,6.789815202093608
18,1872-07-01,6.8858778897607165
19,1872-08-01,6.958249820946505
20,1872-09-01,7.012212714307031
21,1872-10-01,6.89395329384721
22,1872-11-01,6.763080340002348
23,1872-12-01,6.59557007237741
24,1873-01-01,6.681392131911856
25,1873-02-01,6.617430265150825
26,1873-03-01,6.498715373755637
27,1873-04-01,6.423926839595651
28,1873-05-01,6.3981466145896615
29,1873-06-01,6.276797529550215
30,1873-07-01,6.120273226359085
31,1873-08-01,5.947098400098683
32,1873-09-01,6.110275262773701
33,1873-10-01,6.308393515649624
34,1873-11-01,6.4333833229978765
35,1873-12-01,6.290173768156482
36,1874-01-01,6.10895052643039
37,1874-02-01,5.8992932014233945
38,1874-03-01,5.933257347537824
39,1874-04-01,6.131346109815383
40,1874-05-01,6.192123225319102
41,1874-06-01,6.242700069694251
42,1874-07-01,6.3828109979878755
43,1874-08-01,6.425491827658325
44,1874-09-01,6.489373539635235
45,1874-10-01,6.68331464512395
46,1874-11-01,6.814842724136838
47,1874-12-01,6.8856790321006
48,1875-01-01,6.9066586324781465
49,1875-02-01,7.0532157874074075
50,1875-03-01,7.110033017782991
51,1875-04-01,7.038048327190882
52,1875-05-01,7.038969421639862
53,1875-06-01,7.176474799811183
54,1875-07-01,7.2791292644066585
55,1875-08-01,7.321851363592358
56,1875-09-01,7.332483299037107
57,1875-10-01,7.425718293858741
58,1875-11-01,7.328018383013313
59,1875-12-01,7.425144725381028
60,1876-01-01,7.421865486436996
61,1876-02-01,7.337870446452599
62,1876-03-01,7.267041263373208
63,1876-04-01,7.366575011797405
64,1876-05-01,7.443526578927329
65,1876-06-01,7.535598138952815
66,1876-07-01,7.490052977144335
67,1876-08-01,7.809376957042757
68,1876-09-01,8.090959232613915
69,1876-10-01,7.992595173715489
70,1876-11-01,8.106284752804616
71,1876-12-01,8.106615054425204
72,1877-01-01,7.991736709681141
73,1877-02-01,8.087041348085444
74,1877-03-01,7.924850939270933
75,1877-04-01,8.21291737573333
76,1877-05-01,8.14656012836046
77,1877-06-01,8.312415896318681
78,1877-07-01,8.302966311404415
79,1877-08-01,7.737527375283304
80,1877-09-01,7.455454288498253
81,1877-10-01,6.9978346370817235
82,1877-11-01,6.833584178894081
83,1877-12-01,7.033714096471644
84,1878-01-01,7.132661854854594
85,1878-02-01,7.067018197951991
86,1878-03-01,7.160536027754283
87,1878-04-01,7.244179053918409
88,1878-05-01,7.467086816706492
89,1878-06-01,7.427260777210143
90,1878-07-01,7.4906141697261175
91,1878-08-01,7.618654659038704
92,1878-09-01,7.485760235390093
93,1878-10-01,7.596527191883573
94,1878-11-01,7.824127411741055
95,1878-12-01,7.9322651898001695
96,1879-01-01,7.766813519205518
97,1879-02-01,7.538043398980343
98,1879-03-01,7.657399347340665
99,1879-04-01,7.682330768992096
100,1879-05-01,7.693633893837015
101,1879-06-01,7.766368554744707
102,1879-07-01,7.7538877176774434
103,1879-08-01,7.760354580635398
104,1879-09-01,7.609755856197031
105,1879-10-01,7.294786073628612
106,1879-11-01,7.084967145966292
107,1879-12-01,7.138813684766698
108,1880-01-01,6.8909537501603335
109,1880-02-01,6.70776320032791
110,1880-03-01,6.737782096051914
111,1880-04-01,6.710274517885617
112,1880-05-01,6.979645530118095
113,1880-06-01,6.829381666924816
114,1880-07-01,6.509869356904741
115,1880-08-01,6.412410386279799
116,1880-09-01,6.417809190489576
117,1880-10-01,6.511362711934132
118,1880-11-01,6.321691126241502
119,1880-12-01,6.094955435677019
120,1881-01-01,5.937709289050197
121,1881-02-01,6.014585457508548
122,1881-03-01,5.942434022712639
123,1881-04-01,5.916782862835901
124,1881-05-01,5.874086753408836
125,1881-06-01,5.93430002768216
126,1881-07-01,6.065088070863633
127,1881-08-01,5.918518890772573
128,1881-09-01,5.678409727674416
129,1881-10-01,5.781352640473725
130,1881-11-01,5.881778880070532
131,1881-12-01,6.011323170207494
132,1882-01-01,6.029175897244721
133,1882-02-01,6.078983345314604
134,1882-03-01,6.189363100263767
135,1882-04-01,6.271075193248721
136,1882-05-01,6.346060293550315
137,1882-06-01,6.397235127490419
138,1882-07-01,6.239924775011096
139,1882-08-01,6.1588044066041014
140,1882-09-01,6.129348776658916
141,1882-10-01,6.241369977415445
142,1882-11-01,6.3349743881357945
143,1882-12-01,6.20394079776303
144,1883-01-01,6.152981313424166
145,1883-02-01,6.109844832697053
146,1883-03-01,6.008611239742301
147,1883-04-01,5.908711882548068
148,1883-05-01,5.908978773994544
149,1883-06-01,5.734626695996647
150,1883-07-01,5.864503965619772
151,1883-08-01,6.050833114951271
152,1883-09-01,6.032734952865182
153,1883-10-01,6.038261055669558
154,1883-11-01,5.881621144423543
155,1883-12-01,5.968348151198644
156,1884-01-01,6.161062391084426
157,1884-02-01,6.1206665226400725
158,1884-03-01,6.079129701185804
159,1884-04-01,6.131287899263471
160,1884-05-01,6.470216742495727
161,1884-06-01,6.626372431281591
162,1884-07-01,6.46270517472487
